complex,protein,substrate,total,CC,CO,CN,SC,polar,hydrophobic,dG_kcal_mol,distance_A,carbon_num
A15-new-ALDH7A1_10_4-guanidinobutyraldehyde,A15,4-guanidinobutyraldehyde,44,7,6,17,0,14,7,-5.28,27.676,
A15-new-ALDH7A1_11_prop-2-enal,A15,prop-2-enal,32,19,5,7,0,1,19,-5.62,8.37,
A15-new-ALDH7A1_12_prop-2-ynal,A15,prop-2-ynal,43,26,10,3,0,4,26,-5.91,10.3,
A15-new-ALDH7A1_13_(2E)-but-2-enal,A15,(2E)-but-2-enal,37,26,5,3,0,3,26,-6.02,9.362,
A15-new-ALDH7A1_14_trans-2-Hexenal,A15,trans-2-Hexenal,62,29,16,11,0,6,29,-6.37,23.138,
A15-new-ALDH7A1_15_heptanal,A15,heptanal,97,68,16,5,5,3,68,-6.92,5.885,7.0
A15-new-ALDH7A1_16_octanaldehyde,A15,octanaldehyde,120,90,17,5,4,4,90,-7.24,7.34,8.0
A15-new-ALDH7A1_17_nonanal,A15,nonanal,138,113,12,6,3,4,113,-7.17,5.98,9.0
A15-new-ALDH7A1_18_decanal,A15,decanal,142,117,11,8,4,2,117,-7.67,6.73,10.0
A15-new-ALDH7A1_19_dodecanal,A15,dodecanal,174,138,19,10,5,2,138,-8.14,5.448,12.0
A15-new-ALDH7A1_1_formaldehyde,A15,formaldehyde,34,14,13,2,1,4,14,-5.29,2.557,1.0
A15-new-ALDH7A1_20_Citral,A15,Citral,140,101,23,5,5,6,101,-7.46,1.936,
A15-new-ALDH7A1_22_trans-2-Octenal,A15,trans-2-Octenal,127,97,14,10,5,1,97,-6.52,7.198,
A15-new-ALDH7A1_23_4-Hydroxynonenal,A15,4-Hydroxynonenal,92,61,17,9,0,5,61,-5.8,12.51,
A15-new-ALDH7A1_23_4-Hydroxynonenal,A15,4-Hydroxynonenal,92,61,17,9,0,5,61,-5.8,12.903,
A15-new-ALDH7A1_24_Tetradecanal,A15,Tetradecanal,169,108,32,19,4,6,108,-8.39,2.058,14.0
A15-new-ALDH7A1_25_hexadecanal,A15,hexadecanal,185,129,29,17,5,5,129,-8.02,9.325,16.0
A15-new-ALDH7A1_26_trans-2-hexadecenal,A15,trans-2-hexadecenal,230,177,24,16,6,7,177,-8.38,7.562,
A15-new-ALDH7A1_27_Benzaldehyde,A15,Benzaldehyde,14,10,4,0,0,0,10,-6.87,38.972,
A15-new-ALDH7A1_28_Phenylacetaldehyde,A15,Phenylacetaldehyde,167,97,33,34,0,3,97,-6.36,27.26,
A15-new-ALDH7A1_29_Salicylaldehyde,A15,Salicylaldehyde,0,0,0,0,0,0,0,-6.72,,
A15-new-ALDH7A1_2_acetaldehyde,A15,acetaldehyde,79,29,33,6,0,11,29,-5.46,13.713,2.0
"A15-new-ALDH7A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A15,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",91,48,29,5,0,9,48,-6.86,19.24,
"A15-new-ALDH7A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A15,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",91,48,29,5,0,9,48,-6.86,19.014,
"A15-new-ALDH7A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A15,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",91,48,29,5,0,9,48,-6.86,25.264,
"A15-new-ALDH7A1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A15,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",169,104,41,12,5,7,104,-8.94,2.055,
A15-new-ALDH7A1_32_9-cis-Retinal,A15,9-cis-Retinal,282,222,27,22,6,5,222,-9.11,7.853,
A15-new-ALDH7A1_33_11-cis-Retinol,A15,11-cis-Retinol,153,92,34,20,0,7,92,-9.2,18.814,
A15-new-ALDH7A1_34_4-hydroxy-2-nonenal,A15,4-hydroxy-2-nonenal,162,92,36,20,6,8,92,-6.87,4.301,
A15-new-ALDH7A1_34_4-hydroxy-2-nonenal,A15,4-hydroxy-2-nonenal,162,92,36,20,6,8,92,-6.87,7.298,
A15-new-ALDH7A1_35_Cinnamaldehyde,A15,Cinnamaldehyde,100,61,12,27,0,0,61,-7.16,32.233,
A15-new-ALDH7A1_36_3-(4-Isopropylphenyl)-2-methylpropanal,A15,3-(4-Isopropylphenyl)-2-methylpropanal,136,94,26,14,0,2,94,-6.87,13.928,
A15-new-ALDH7A1_37_thiobenzaldehyde,A15,thiobenzaldehyde,61,29,8,15,4,5,29,-6.71,30.284,
"A15-new-ALDH7A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A15,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",105,33,53,8,0,11,33,-6.17,10.008,
"A15-new-ALDH7A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A15,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",105,33,53,8,0,11,33,-6.17,8.716,
"A15-new-ALDH7A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A15,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",105,33,53,8,0,11,33,-6.17,12.401,
"A15-new-ALDH7A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A15,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",105,33,53,8,0,11,33,-6.17,12.684,
A15-new-ALDH7A1_39_4-nitrobenzaldehyde,A15,4-nitrobenzaldehyde,280,102,80,54,0,44,102,-6.37,13.832,
A15-new-ALDH7A1_3_propylaldehyde,A15,propylaldehyde,56,41,12,1,1,1,41,-5.94,4.083,3.0
A15-new-ALDH7A1_40_Furan-2-carbaldehyde,A15,Furan-2-carbaldehyde,113,33,51,3,0,20,33,-7.42,28.424,
A15-new-ALDH7A1_41_Indole-3-acetaldehyde,A15,Indole-3-acetaldehyde,0,0,0,0,0,0,0,-7.2,,
A15-new-ALDH7A1_42_Glutamate-5-semialdehyde,A15,Glutamate-5-semialdehyde,136,58,43,13,5,17,58,-6.26,3.359,
A15-new-ALDH7A1_43_Glutamate-1-semialdehyde,A15,Glutamate-1-semialdehyde,19,12,3,4,0,0,12,-5.95,42.645,
A15-new-ALDH7A1_44_glutarate semialdehyde,A15,glutarate semialdehyde,119,59,36,6,5,13,59,-6.49,2.196,
A15-new-ALDH7A1_45_adipate semialdehyde,A15,adipate semialdehyde,128,67,39,5,4,13,67,-6.58,1.867,
A15-new-ALDH7A1_46_Succinic semialdehyde,A15,Succinic semialdehyde,125,45,48,11,4,17,45,-6.09,2.044,
A15-new-ALDH7A1_47_methylmalonate semialdehyde,A15,methylmalonate semialdehyde,24,9,10,2,0,3,9,-5.53,17.777,
A15-new-ALDH7A1_48_alpha-aminoadipate semialdehyde,A15,alpha-aminoadipate semialdehyde,154,76,37,20,4,17,76,-6.24,6.12,
A15-new-ALDH7A1_49_2-Aminomuconic semialdehyde,A15,2-Aminomuconic semialdehyde,21,11,3,4,0,3,11,-6.34,18.254,
A15-new-ALDH7A1_4_malonaldehyde,A15,malonaldehyde,14,5,7,0,0,2,5,-5.74,22.279,
A15-new-ALDH7A1_4_malonaldehyde,A15,malonaldehyde,14,5,7,0,0,2,5,-5.74,19.882,
A15-new-ALDH7A1_50_10-formyltetrahydrofolate,A15,10-formyltetrahydrofolate,183,54,49,46,0,34,54,-7.92,15.544,
A15-new-ALDH7A1_50_10-formyltetrahydrofolate,A15,10-formyltetrahydrofolate,183,54,49,46,0,34,54,-7.92,10.595,
A15-new-ALDH7A1_50_10-formyltetrahydrofolate,A15,10-formyltetrahydrofolate,183,54,49,46,0,34,54,-7.92,14.169,
A15-new-ALDH7A1_51_6R-Tetrahydrofolic acid,A15,6R-Tetrahydrofolic acid,180,59,37,53,1,30,59,-6.55,16.785,
A15-new-ALDH7A1_51_6R-Tetrahydrofolic acid,A15,6R-Tetrahydrofolic acid,180,59,37,53,1,30,59,-6.55,14.83,
A15-new-ALDH7A1_52_Triose phosphate,A15,Triose phosphate,138,26,62,4,0,30,26,-5.79,7.929,
A15-new-ALDH7A1_52_Triose phosphate,A15,Triose phosphate,138,26,62,4,0,30,26,-5.79,9.43,
A15-new-ALDH7A1_52_Triose phosphate,A15,Triose phosphate,138,26,62,4,0,30,26,-5.79,9.966,
A15-new-ALDH7A1_53_Pyridoxal phosphate,A15,Pyridoxal phosphate,59,20,18,5,0,10,20,-6.55,13.829,
A15-new-ALDH7A1_53_Pyridoxal phosphate,A15,Pyridoxal phosphate,59,20,18,5,0,10,20,-6.55,17.181,
A15-new-ALDH7A1_53_Pyridoxal phosphate,A15,Pyridoxal phosphate,59,20,18,5,0,10,20,-6.55,15.401,
A15-new-ALDH7A1_55_Ethanol,A15,Ethanol,21,12,6,2,0,1,12,-5.66,10.671,
A15-new-ALDH7A1_56_S-hydroxy-methylglutathione,A15,S-hydroxy-methylglutathione,333,114,88,60,18,53,114,-7.25,4.093,
A15-new-ALDH7A1_56_S-hydroxy-methylglutathione,A15,S-hydroxy-methylglutathione,333,114,88,60,18,53,114,-7.25,2.415,
A15-new-ALDH7A1_56_S-hydroxy-methylglutathione,A15,S-hydroxy-methylglutathione,333,114,88,60,18,53,114,-7.25,3.556,
A15-new-ALDH7A1_57_S-3-oxopropylglutathione,A15,S-3-oxopropylglutathione,267,105,77,38,12,35,105,-7.64,9.984,
A15-new-ALDH7A1_57_S-3-oxopropylglutathione,A15,S-3-oxopropylglutathione,267,105,77,38,12,35,105,-7.64,9.856,
A15-new-ALDH7A1_57_S-3-oxopropylglutathione,A15,S-3-oxopropylglutathione,267,105,77,38,12,35,105,-7.64,3.85,
A15-new-ALDH7A1_58_S-(4-oxobutan-2-yl)glutathione,A15,S-(4-oxobutan-2-yl)glutathione,20,6,8,1,2,3,6,-7.23,18.164,
A15-new-ALDH7A1_58_S-(4-oxobutan-2-yl)glutathione,A15,S-(4-oxobutan-2-yl)glutathione,20,6,8,1,2,3,6,-7.23,17.142,
A15-new-ALDH7A1_58_S-(4-oxobutan-2-yl)glutathione,A15,S-(4-oxobutan-2-yl)glutathione,20,6,8,1,2,3,6,-7.23,17.295,
A15-new-ALDH7A1_59_4-Hydroxynonenal_glutathione,A15,4-Hydroxynonenal_glutathione,455,209,122,45,22,57,209,-8.95,5.871,
A15-new-ALDH7A1_59_4-Hydroxynonenal_glutathione,A15,4-Hydroxynonenal_glutathione,455,209,122,45,22,57,209,-8.95,3.105,
A15-new-ALDH7A1_5_butyraldehyde,A15,butyraldehyde,101,55,24,18,0,4,55,-6.25,16.311,4.0
A15-new-ALDH7A1_60_S-Formylglutathione,A15,S-Formylglutathione,242,89,78,30,14,31,89,-7.26,6.278,
A15-new-ALDH7A1_60_S-Formylglutathione,A15,S-Formylglutathione,242,89,78,30,14,31,89,-7.26,4.787,
A15-new-ALDH7A1_60_S-Formylglutathione,A15,S-Formylglutathione,242,89,78,30,14,31,89,-7.26,2.169,
A15-new-ALDH7A1_6_amylaldehyde,A15,amylaldehyde,60,46,11,1,0,2,46,-6.35,6.933,5.0
A15-new-ALDH7A1_7_glutaraldehyde,A15,glutaraldehyde,111,64,30,9,0,8,64,-6.69,10.124,
A15-new-ALDH7A1_7_glutaraldehyde,A15,glutaraldehyde,111,64,30,9,0,8,64,-6.69,14.076,
A15-new-ALDH7A1_8_hexanal,A15,hexanal,82,60,12,4,4,2,60,-6.73,5.547,6.0
A15-new-ALDH7A1_9_2-hydroxypropionaldehyde,A15,2-hydroxypropionaldehyde,13,5,3,1,3,1,5,-5.76,14.236,
A15-new-ALDH7A1_9_2-hydroxypropionaldehyde,A15,2-hydroxypropionaldehyde,13,5,3,1,3,1,5,-5.76,15.634,
A16_10_4-guanidinobutyraldehyde,A16,4-guanidinobutyraldehyde,98,24,24,28,0,22,24,-5.64,24.088,
A16_11_prop-2-enal,A16,prop-2-enal,14,9,1,3,1,0,9,-5.33,44.769,
A16_12_prop-2-ynal,A16,prop-2-ynal,47,27,11,6,0,3,27,-5.86,11.643,
A16_13_(2E)-but-2-enal,A16,(2E)-but-2-enal,80,48,14,6,4,8,48,-6.29,2.716,
A16_14_trans-2-Hexenal,A16,trans-2-Hexenal,68,32,21,6,0,9,32,-6.3,25.027,
A16_15_heptanal,A16,heptanal,93,62,18,8,0,5,62,-7.2,11.368,7.0
A16_16_octanaldehyde,A16,octanaldehyde,128,88,18,13,6,3,88,-7.41,3.995,8.0
A16_17_nonanal,A16,nonanal,141,90,27,14,8,2,90,-7.69,5.226,9.0
A16_18_decanal,A16,decanal,163,105,34,13,8,3,105,-7.68,6.285,10.0
A16_19_dodecanal,A16,dodecanal,208,159,24,10,12,3,159,-8.47,11.193,12.0
A16_1_formaldehyde,A16,formaldehyde,21,6,12,1,0,2,6,-5.27,25.253,1.0
A16_20_Citral,A16,Citral,160,105,33,15,1,6,105,-7.12,28.179,
A16_22_trans-2-Octenal,A16,trans-2-Octenal,131,84,23,9,7,8,84,-7.26,3.104,
A16_23_4-Hydroxynonenal,A16,4-Hydroxynonenal,175,102,39,12,8,14,102,-7.47,1.606,
A16_23_4-Hydroxynonenal,A16,4-Hydroxynonenal,175,102,39,12,8,14,102,-7.47,3.232,
A16_24_Tetradecanal,A16,Tetradecanal,225,174,18,16,13,4,174,-8.89,2.406,14.0
A16_25_hexadecanal,A16,hexadecanal,226,161,19,26,12,8,161,-9.12,2.048,16.0
A16_26_trans-2-hexadecenal,A16,trans-2-hexadecenal,255,185,35,17,14,4,185,-9.17,5.639,
A16_27_Benzaldehyde,A16,Benzaldehyde,56,37,7,10,0,2,37,-6.41,29.842,
A16_28_Phenylacetaldehyde,A16,Phenylacetaldehyde,107,68,23,14,0,2,68,-6.68,12.949,
A16_29_Salicylaldehyde,A16,Salicylaldehyde,92,33,37,9,0,13,33,-6.21,30.102,
A16_29_Salicylaldehyde,A16,Salicylaldehyde,92,33,37,9,0,13,33,-6.21,30.001,
A16_2_acetaldehyde,A16,acetaldehyde,41,21,13,2,2,3,21,-5.6,3.717,2.0
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A16,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",47,20,19,4,0,4,20,-5.96,28.089,
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A16,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",47,20,19,4,0,4,20,-5.96,27.907,
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A16,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",47,20,19,4,0,4,20,-5.96,30.997,
"A16_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A16,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",269,164,60,41,0,4,164,-9.51,21.737,
A16_32_9-cis-Retinal,A16,9-cis-Retinal,330,239,37,37,14,3,239,-10.27,3.245,
A16_33_11-cis-Retinol,A16,11-cis-Retinol,302,221,33,32,13,3,221,-10.37,8.365,
A16_34_4-hydroxy-2-nonenal,A16,4-hydroxy-2-nonenal,163,97,34,15,7,10,97,-7.44,2.81,
A16_34_4-hydroxy-2-nonenal,A16,4-hydroxy-2-nonenal,163,97,34,15,7,10,97,-7.44,6.086,
A16_35_Cinnamaldehyde,A16,Cinnamaldehyde,39,25,8,5,0,1,25,-6.25,35.179,
A16_36_3-(4-Isopropylphenyl)-2-methylpropanal,A16,3-(4-Isopropylphenyl)-2-methylpropanal,195,118,38,29,3,7,118,-8.12,3.594,
A16_37_thiobenzaldehyde,A16,thiobenzaldehyde,89,35,21,15,10,8,35,-6.18,25.154,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A16,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",67,16,25,8,0,18,16,-6.07,26.688,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A16,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",67,16,25,8,0,18,16,-6.07,27.926,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A16,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",67,16,25,8,0,18,16,-6.07,26.646,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A16,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",67,16,25,8,0,18,16,-6.07,27.6,
A16_39_4-nitrobenzaldehyde,A16,4-nitrobenzaldehyde,167,80,40,24,1,22,80,-6.02,8.311,
A16_3_propylaldehyde,A16,propylaldehyde,42,24,7,7,0,4,24,-5.83,10.527,3.0
A16_40_Furan-2-carbaldehyde,A16,Furan-2-carbaldehyde,229,79,78,30,0,33,79,-6.91,14.216,
A16_41_Indole-3-acetaldehyde,A16,Indole-3-acetaldehyde,61,41,12,7,0,1,41,-6.33,22.818,
A16_42_Glutamate-5-semialdehyde,A16,Glutamate-5-semialdehyde,131,59,39,14,4,15,59,-6.16,5.616,
A16_43_Glutamate-1-semialdehyde,A16,Glutamate-1-semialdehyde,130,55,41,15,5,14,55,-6.45,1.685,
A16_44_glutarate semialdehyde,A16,glutarate semialdehyde,133,61,43,8,3,18,61,-6.48,2.69,
A16_45_adipate semialdehyde,A16,adipate semialdehyde,130,65,41,9,5,10,65,-6.74,2.377,
A16_46_Succinic semialdehyde,A16,Succinic semialdehyde,112,51,39,6,3,13,51,-6.28,2.143,
A16_47_methylmalonate semialdehyde,A16,methylmalonate semialdehyde,98,34,36,15,2,11,34,-6.3,12.305,
A16_48_alpha-aminoadipate semialdehyde,A16,alpha-aminoadipate semialdehyde,147,65,44,23,6,9,65,-6.61,2.495,
A16_49_2-Aminomuconic semialdehyde,A16,2-Aminomuconic semialdehyde,114,53,34,13,0,14,53,-5.86,24.145,
A16_4_malonaldehyde,A16,malonaldehyde,59,20,24,5,0,10,20,-5.87,11.951,
A16_4_malonaldehyde,A16,malonaldehyde,59,20,24,5,0,10,20,-5.87,14.266,
A16_50_10-formyltetrahydrofolate,A16,10-formyltetrahydrofolate,300,82,86,72,0,60,82,-7.83,16.936,
A16_50_10-formyltetrahydrofolate,A16,10-formyltetrahydrofolate,300,82,86,72,0,60,82,-7.83,14.367,
A16_50_10-formyltetrahydrofolate,A16,10-formyltetrahydrofolate,300,82,86,72,0,60,82,-7.83,11.931,
A16_51_6R-Tetrahydrofolic acid,A16,6R-Tetrahydrofolic acid,277,91,76,62,0,48,91,,15.445,
A16_51_6R-Tetrahydrofolic acid,A16,6R-Tetrahydrofolic acid,277,91,76,62,0,48,91,,12.034,
