key,dG_kcal_mol,status,protein,cys_residue,distance_A,note,catalytic_residue
A15_20_Citral,-7.46,OK,A15,Cys330,1.936,aldehyde detected,
"A15_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.94,OK,A15,Cys330,2.055,aldehyde detected,
A15_24_Tetradecanal,-8.39,OK,A15,Cys330,2.058,aldehyde detected,
A15_60_S-Formylglutathione,-7.26,OK,A15,Cys330,2.169,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,2.415,aldehyde detected,
A15_59_4-Hydroxynonenal_glutathione,-8.95,OK,A15,Cys330,3.105,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,3.556,aldehyde detected,
A15_57_S-3-oxopropylglutathione,-7.64,OK,A15,Cys330,3.85,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,4.093,aldehyde detected,
A15_60_S-Formylglutathione,-7.26,OK,A15,Cys330,4.787,aldehyde detected,
A16_23_4-Hydroxynonenal,-7.47,OK,A16,Cys287,1.606,aldehyde detected,
A16_25_hexadecanal,-9.12,OK,A16,Cys287,2.048,aldehyde detected,
A16_57_S-3-oxopropylglutathione,-8.14,OK,A16,Cys287,2.131,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,2.337,aldehyde detected,
A16_24_Tetradecanal,-8.89,OK,A16,Cys287,2.406,aldehyde detected,
A16_34_4-hydroxy-2-nonenal,-7.44,OK,A16,Cys287,2.81,aldehyde detected,
A16_22_trans-2-Octenal,-7.26,OK,A16,Cys287,3.104,aldehyde detected,
A16_23_4-Hydroxynonenal,-7.47,OK,A16,Cys287,3.232,aldehyde detected,
A16_32_9-cis-Retinal,-10.27,OK,A16,Cys287,3.245,aldehyde detected,
A16_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.12,OK,A16,Cys287,3.594,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,3.909,aldehyde detected,
A16_57_S-3-oxopropylglutathione,-8.14,OK,A16,Cys287,3.958,aldehyde detected,
A16_16_octanaldehyde,-7.41,OK,A16,Cys287,3.995,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,4.08,aldehyde detected,
A16_60_S-Formylglutathione,-7.37,OK,A16,Cys287,4.457,aldehyde detected,
A17_18_decanal,-7.52,OK,A17,Cys288,1.991,aldehyde detected,
A17_17_nonanal,-7.29,OK,A17,Cys288,2.323,aldehyde detected,
A17_16_octanaldehyde,-7.03,OK,A17,Cys288,2.526,aldehyde detected,
A17_25_hexadecanal,-8.95,OK,A17,Cys288,2.604,aldehyde detected,
"A17_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.91,OK,A17,Cys288,3.034,aldehyde detected,
A17_57_S-3-oxopropylglutathione,-7.97,OK,A17,Cys288,3.034,aldehyde detected,
A17_32_9-cis-Retinal,-9.74,OK,A17,Cys288,3.046,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.313,aldehyde detected,
A17_19_dodecanal,-7.75,OK,A17,Cys288,3.509,aldehyde detected,
A17_24_Tetradecanal,-8.09,OK,A17,Cys288,3.642,aldehyde detected,
A17_34_4-hydroxy-2-nonenal,-7.29,OK,A17,Cys288,3.652,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.666,aldehyde detected,
A17_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK,A17,Cys288,3.926,aldehyde detected,
A17_26_trans-2-hexadecenal,-8.96,OK,A17,Cys288,4.007,aldehyde detected,
A17_60_S-Formylglutathione,-7.12,OK,A17,Cys288,4.171,aldehyde detected,
A17_20_Citral,-7.31,OK,A17,Cys288,4.192,aldehyde detected,
A17_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.37,OK,A17,Cys288,4.294,aldehyde detected,
B1_18_decanal,-7.49,OK,B1,,1.961,aldehyde detected,CYS175
B1_16_octanaldehyde,-7.18,OK,B1,,1.967,aldehyde detected,CYS175
B1_19_dodecanal,-8.2,OK,B1,,2.491,aldehyde detected,CYS47
B1_19_dodecanal,-8.2,OK,B1,,2.5,aldehyde detected,CYS175
B1_18_decanal,-7.49,OK,B1,,2.883,aldehyde detected,CYS47
B1_16_octanaldehyde,-7.18,OK,B1,,3.458,aldehyde detected,CYS47
B1_18_decanal,-7.49,OK,B1,,3.558,aldehyde detected,HIS68
B1_19_dodecanal,-8.2,OK,B1,,4.252,aldehyde detected,HIS68
B2_33_11-cis-Retinol,-10.7,OK,B2,,1.965,aldehyde detected,CYS47
B2_25_hexadecanal,-7.14,OK,B2,,2.158,aldehyde detected,CYS47
B2_32_9-cis-Retinal,-10.26,OK,B2,,2.254,aldehyde detected,CYS175
B2_24_Tetradecanal,-8.04,OK,B2,,2.296,aldehyde detected,CYS175
B2_18_decanal,-7.31,OK,B2,,2.328,aldehyde detected,CYS175
B2_25_hexadecanal,-7.14,OK,B2,,2.662,aldehyde detected,CYS175
B2_33_11-cis-Retinol,-10.7,OK,B2,,3.05,aldehyde detected,CYS175
B2_19_dodecanal,-7.39,OK,B2,,3.161,aldehyde detected,CYS175
B2_32_9-cis-Retinal,-10.26,OK,B2,,3.23,aldehyde detected,CYS47
B2_24_Tetradecanal,-8.04,OK,B2,,3.258,aldehyde detected,CYS47
B2_18_decanal,-7.31,OK,B2,,3.292,aldehyde detected,CYS47
B2_18_decanal,-7.31,OK,B2,,3.566,aldehyde detected,HIS68
