key,dG_kcal_mol,status,protein,cys_residue,distance_A,note,catalytic_residue
A15_10_4-guanidinobutyraldehyde,-5.28,OK,A15,Cys330,27.676,aldehyde detected,
A15_11_prop-2-enal,-5.62,OK,A15,Cys330,8.37,aldehyde detected,
A15_12_prop-2-ynal,-5.91,OK,A15,Cys330,10.3,aldehyde detected,
A15_13_(2E)-but-2-enal,-6.02,OK,A15,Cys330,9.362,aldehyde detected,
A15_14_trans-2-Hexenal,-6.37,OK,A15,Cys330,23.138,aldehyde detected,
A15_15_heptanal,-6.92,OK,A15,Cys330,5.885,aldehyde detected,
A15_16_octanaldehyde,-7.24,OK,A15,Cys330,7.34,aldehyde detected,
A15_17_nonanal,-7.17,OK,A15,Cys330,5.98,aldehyde detected,
A15_18_decanal,-7.67,OK,A15,Cys330,6.73,aldehyde detected,
A15_19_dodecanal,-8.14,OK,A15,Cys330,5.448,aldehyde detected,
A15_1_formaldehyde,-5.29,OK,A15,Cys330,2.557,aldehyde detected,
A15_20_Citral,-7.46,OK,A15,Cys330,1.936,aldehyde detected,
A15_22_trans-2-Octenal,-6.52,OK,A15,Cys330,7.198,aldehyde detected,
A15_23_4-Hydroxynonenal,-5.8,OK,A15,Cys330,12.51,aldehyde detected,
A15_23_4-Hydroxynonenal,-5.8,OK,A15,Cys330,12.903,aldehyde detected,
A15_24_Tetradecanal,-8.39,OK,A15,Cys330,2.058,aldehyde detected,
A15_25_hexadecanal,-8.02,OK,A15,Cys330,9.325,aldehyde detected,
A15_26_trans-2-hexadecenal,-8.38,OK,A15,Cys330,7.562,aldehyde detected,
A15_27_Benzaldehyde,-6.87,OK,A15,Cys330,38.972,aldehyde detected,
A15_28_Phenylacetaldehyde,-6.36,OK,A15,Cys330,27.26,aldehyde detected,
A15_29_Salicylaldehyde,-6.72,OK,A15,Cys330,,"no aldehyde detected, using closest C",
A15_2_acetaldehyde,-5.46,OK,A15,Cys330,13.713,aldehyde detected,
"A15_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.86,OK,A15,Cys330,19.24,aldehyde detected,
"A15_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.86,OK,A15,Cys330,19.014,aldehyde detected,
"A15_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.86,OK,A15,Cys330,25.264,aldehyde detected,
"A15_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.94,OK,A15,Cys330,2.055,aldehyde detected,
A15_32_9-cis-Retinal,-9.11,OK,A15,Cys330,7.853,aldehyde detected,
A15_33_11-cis-Retinol,-9.2,OK,A15,Cys330,18.814,aldehyde detected,
A15_34_4-hydroxy-2-nonenal,-6.87,OK,A15,Cys330,4.301,aldehyde detected,
A15_34_4-hydroxy-2-nonenal,-6.87,OK,A15,Cys330,7.298,aldehyde detected,
A15_35_Cinnamaldehyde,-7.16,OK,A15,Cys330,32.233,aldehyde detected,
A15_36_3-(4-Isopropylphenyl)-2-methylpropanal,-6.87,OK,A15,Cys330,13.928,aldehyde detected,
A15_37_thiobenzaldehyde,-6.71,OK,A15,Cys330,30.284,"no aldehyde detected, using closest C",
"A15_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A15,Cys330,10.008,aldehyde detected,
"A15_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A15,Cys330,8.716,aldehyde detected,
"A15_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A15,Cys330,12.401,aldehyde detected,
"A15_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A15,Cys330,12.684,aldehyde detected,
A15_39_4-nitrobenzaldehyde,-6.37,OK,A15,Cys330,13.832,aldehyde detected,
A15_3_propylaldehyde,-5.94,OK,A15,Cys330,4.083,aldehyde detected,
A15_40_Furan-2-carbaldehyde,-7.42,OK,A15,Cys330,28.424,aldehyde detected,
A15_41_Indole-3-acetaldehyde,-7.2,OK,A15,Cys330,,"no aldehyde detected, using closest C",
A15_42_Glutamate-5-semialdehyde,-6.26,OK,A15,Cys330,3.359,aldehyde detected,
A15_43_Glutamate-1-semialdehyde,-5.95,OK,A15,Cys330,42.645,aldehyde detected,
A15_44_glutarate semialdehyde,-6.49,OK,A15,Cys330,2.196,aldehyde detected,
A15_45_adipate semialdehyde,-6.58,OK,A15,Cys330,1.867,aldehyde detected,
A15_46_Succinic semialdehyde,-6.09,OK,A15,Cys330,2.044,aldehyde detected,
A15_47_methylmalonate semialdehyde,-5.53,OK,A15,Cys330,17.777,aldehyde detected,
A15_48_alpha-aminoadipate semialdehyde,-6.24,OK,A15,Cys330,6.12,aldehyde detected,
A15_49_2-Aminomuconic semialdehyde,-6.34,OK,A15,Cys330,18.254,aldehyde detected,
A15_4_malonaldehyde,-5.74,OK,A15,Cys330,22.279,aldehyde detected,
A15_4_malonaldehyde,-5.74,OK,A15,Cys330,19.882,aldehyde detected,
A15_50_10-formyltetrahydrofolate,-7.92,OK,A15,Cys330,15.544,aldehyde detected,
A15_50_10-formyltetrahydrofolate,-7.92,OK,A15,Cys330,10.595,aldehyde detected,
A15_50_10-formyltetrahydrofolate,-7.92,OK,A15,Cys330,14.169,aldehyde detected,
A15_51_6R-Tetrahydrofolic acid,-6.55,OK,A15,Cys330,16.785,aldehyde detected,
A15_51_6R-Tetrahydrofolic acid,-6.55,OK,A15,Cys330,14.83,aldehyde detected,
A15_52_Triose phosphate,-5.79,OK,A15,Cys330,7.929,aldehyde detected,
A15_52_Triose phosphate,-5.79,OK,A15,Cys330,9.43,aldehyde detected,
A15_52_Triose phosphate,-5.79,OK,A15,Cys330,9.966,aldehyde detected,
A15_53_Pyridoxal phosphate,-6.55,OK,A15,Cys330,13.829,aldehyde detected,
A15_53_Pyridoxal phosphate,-6.55,OK,A15,Cys330,17.181,aldehyde detected,
A15_53_Pyridoxal phosphate,-6.55,OK,A15,Cys330,15.401,aldehyde detected,
A15_55_Ethanol,-5.66,OK,A15,Cys330,10.671,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,4.093,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,2.415,aldehyde detected,
A15_56_S-hydroxy-methylglutathione,-7.25,OK,A15,Cys330,3.556,aldehyde detected,
A15_57_S-3-oxopropylglutathione,-7.64,OK,A15,Cys330,9.984,aldehyde detected,
A15_57_S-3-oxopropylglutathione,-7.64,OK,A15,Cys330,9.856,aldehyde detected,
A15_57_S-3-oxopropylglutathione,-7.64,OK,A15,Cys330,3.85,aldehyde detected,
A15_58_S-(4-oxobutan-2-yl)glutathione,-7.23,OK,A15,Cys330,18.164,aldehyde detected,
A15_58_S-(4-oxobutan-2-yl)glutathione,-7.23,OK,A15,Cys330,17.142,aldehyde detected,
A15_58_S-(4-oxobutan-2-yl)glutathione,-7.23,OK,A15,Cys330,17.295,aldehyde detected,
A15_59_4-Hydroxynonenal_glutathione,-8.95,OK,A15,Cys330,5.871,aldehyde detected,
A15_59_4-Hydroxynonenal_glutathione,-8.95,OK,A15,Cys330,3.105,aldehyde detected,
A15_5_butyraldehyde,-6.25,OK,A15,Cys330,16.311,aldehyde detected,
A15_60_S-Formylglutathione,-7.26,OK,A15,Cys330,6.278,aldehyde detected,
A15_60_S-Formylglutathione,-7.26,OK,A15,Cys330,4.787,aldehyde detected,
A15_60_S-Formylglutathione,-7.26,OK,A15,Cys330,2.169,aldehyde detected,
A15_6_amylaldehyde,-6.35,OK,A15,Cys330,6.933,aldehyde detected,
A15_7_glutaraldehyde,-6.69,OK,A15,Cys330,10.124,aldehyde detected,
A15_7_glutaraldehyde,-6.69,OK,A15,Cys330,14.076,aldehyde detected,
A15_8_hexanal,-6.73,OK,A15,Cys330,5.547,aldehyde detected,
A15_9_2-hydroxypropionaldehyde,-5.76,OK,A15,Cys330,14.236,aldehyde detected,
A15_9_2-hydroxypropionaldehyde,-5.76,OK,A15,Cys330,15.634,aldehyde detected,
A16_10_4-guanidinobutyraldehyde,-5.64,OK,A16,Cys287,24.088,aldehyde detected,
A16_11_prop-2-enal,-5.33,OK,A16,Cys287,44.769,aldehyde detected,
A16_12_prop-2-ynal,-5.86,OK,A16,Cys287,11.643,aldehyde detected,
A16_13_(2E)-but-2-enal,-6.29,OK,A16,Cys287,2.716,aldehyde detected,
A16_14_trans-2-Hexenal,-6.3,OK,A16,Cys287,25.027,aldehyde detected,
A16_15_heptanal,-7.2,OK,A16,Cys287,11.368,aldehyde detected,
A16_16_octanaldehyde,-7.41,OK,A16,Cys287,3.995,aldehyde detected,
A16_17_nonanal,-7.69,OK,A16,Cys287,5.226,aldehyde detected,
A16_18_decanal,-7.68,OK,A16,Cys287,6.285,aldehyde detected,
A16_19_dodecanal,-8.47,OK,A16,Cys287,11.193,aldehyde detected,
A16_1_formaldehyde,-5.27,OK,A16,Cys287,25.253,aldehyde detected,
A16_20_Citral,-7.12,OK,A16,Cys287,28.179,aldehyde detected,
A16_22_trans-2-Octenal,-7.26,OK,A16,Cys287,3.104,aldehyde detected,
A16_23_4-Hydroxynonenal,-7.47,OK,A16,Cys287,1.606,aldehyde detected,
A16_23_4-Hydroxynonenal,-7.47,OK,A16,Cys287,3.232,aldehyde detected,
A16_24_Tetradecanal,-8.89,OK,A16,Cys287,2.406,aldehyde detected,
A16_25_hexadecanal,-9.12,OK,A16,Cys287,2.048,aldehyde detected,
A16_26_trans-2-hexadecenal,-9.17,OK,A16,Cys287,5.639,aldehyde detected,
A16_27_Benzaldehyde,-6.41,OK,A16,Cys287,29.842,aldehyde detected,
A16_28_Phenylacetaldehyde,-6.68,OK,A16,Cys287,12.949,aldehyde detected,
A16_29_Salicylaldehyde,-6.21,OK,A16,Cys287,30.102,aldehyde detected,
A16_29_Salicylaldehyde,-6.21,OK,A16,Cys287,30.001,aldehyde detected,
A16_2_acetaldehyde,-5.6,OK,A16,Cys287,3.717,aldehyde detected,
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.96,OK,A16,Cys287,28.089,aldehyde detected,
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.96,OK,A16,Cys287,27.907,aldehyde detected,
"A16_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.96,OK,A16,Cys287,30.997,aldehyde detected,
"A16_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.51,OK,A16,Cys287,21.737,aldehyde detected,
A16_32_9-cis-Retinal,-10.27,OK,A16,Cys287,3.245,aldehyde detected,
A16_33_11-cis-Retinol,-10.37,OK,A16,Cys287,8.365,aldehyde detected,
A16_34_4-hydroxy-2-nonenal,-7.44,OK,A16,Cys287,2.81,aldehyde detected,
A16_34_4-hydroxy-2-nonenal,-7.44,OK,A16,Cys287,6.086,aldehyde detected,
A16_35_Cinnamaldehyde,-6.25,OK,A16,Cys287,35.179,aldehyde detected,
A16_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.12,OK,A16,Cys287,3.594,aldehyde detected,
A16_37_thiobenzaldehyde,-6.18,OK,A16,Cys287,25.154,"no aldehyde detected, using closest C",
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.07,OK,A16,Cys287,26.688,aldehyde detected,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.07,OK,A16,Cys287,27.926,aldehyde detected,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.07,OK,A16,Cys287,26.646,aldehyde detected,
"A16_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.07,OK,A16,Cys287,27.6,aldehyde detected,
A16_39_4-nitrobenzaldehyde,-6.02,OK,A16,Cys287,8.311,aldehyde detected,
A16_3_propylaldehyde,-5.83,OK,A16,Cys287,10.527,aldehyde detected,
A16_40_Furan-2-carbaldehyde,-6.91,OK,A16,Cys287,14.216,aldehyde detected,
A16_41_Indole-3-acetaldehyde,-6.33,OK,A16,Cys287,22.818,aldehyde detected,
A16_42_Glutamate-5-semialdehyde,-6.16,OK,A16,Cys287,5.616,aldehyde detected,
A16_43_Glutamate-1-semialdehyde,-6.45,OK,A16,Cys287,1.685,aldehyde detected,
A16_44_glutarate semialdehyde,-6.48,OK,A16,Cys287,2.69,aldehyde detected,
A16_45_adipate semialdehyde,-6.74,OK,A16,Cys287,2.377,aldehyde detected,
A16_46_Succinic semialdehyde,-6.28,OK,A16,Cys287,2.143,aldehyde detected,
A16_47_methylmalonate semialdehyde,-6.3,OK,A16,Cys287,12.305,aldehyde detected,
A16_48_alpha-aminoadipate semialdehyde,-6.61,OK,A16,Cys287,2.495,aldehyde detected,
A16_49_2-Aminomuconic semialdehyde,-5.86,OK,A16,Cys287,24.145,aldehyde detected,
A16_4_malonaldehyde,-5.87,OK,A16,Cys287,11.951,aldehyde detected,
A16_4_malonaldehyde,-5.87,OK,A16,Cys287,14.266,aldehyde detected,
A16_50_10-formyltetrahydrofolate,-7.83,OK,A16,Cys287,16.936,aldehyde detected,
A16_50_10-formyltetrahydrofolate,-7.83,OK,A16,Cys287,14.367,aldehyde detected,
A16_50_10-formyltetrahydrofolate,-7.83,OK,A16,Cys287,11.931,aldehyde detected,
A16_51_6R-Tetrahydrofolic acid,,OK,A16,Cys287,15.445,aldehyde detected,
A16_51_6R-Tetrahydrofolic acid,,OK,A16,Cys287,12.034,aldehyde detected,
A16_52_Triose phosphate,-6.02,OK,A16,Cys287,3.795,aldehyde detected,
A16_52_Triose phosphate,-6.02,OK,A16,Cys287,2.454,aldehyde detected,
A16_52_Triose phosphate,-6.02,OK,A16,Cys287,3.119,aldehyde detected,
A16_53_Pyridoxal phosphate,-6.72,OK,A16,Cys287,12.371,aldehyde detected,
A16_53_Pyridoxal phosphate,-6.72,OK,A16,Cys287,15.51,aldehyde detected,
A16_53_Pyridoxal phosphate,-6.72,OK,A16,Cys287,13.968,aldehyde detected,
A16_54_Methanol,-5.47,OK,A16,Cys287,2.689,aldehyde detected,
A16_55_Ethanol,-5.52,OK,A16,Cys287,25.212,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,3.909,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,2.337,aldehyde detected,
A16_56_S-hydroxy-methylglutathione,-7.51,OK,A16,Cys287,4.08,aldehyde detected,
A16_57_S-3-oxopropylglutathione,-8.14,OK,A16,Cys287,2.131,aldehyde detected,
A16_57_S-3-oxopropylglutathione,-8.14,OK,A16,Cys287,3.958,aldehyde detected,
A16_57_S-3-oxopropylglutathione,-8.14,OK,A16,Cys287,6.017,aldehyde detected,
A16_58_S-(4-oxobutan-2-yl)glutathione,-8.53,OK,A16,Cys287,8.432,aldehyde detected,
A16_58_S-(4-oxobutan-2-yl)glutathione,-8.53,OK,A16,Cys287,11.697,aldehyde detected,
A16_58_S-(4-oxobutan-2-yl)glutathione,-8.53,OK,A16,Cys287,14.094,aldehyde detected,
A16_59_4-Hydroxynonenal_glutathione,-8.81,OK,A16,Cys287,9.251,aldehyde detected,
A16_59_4-Hydroxynonenal_glutathione,-8.81,OK,A16,Cys287,12.747,aldehyde detected,
A16_5_butyraldehyde,-6.24,OK,A16,Cys287,1.981,aldehyde detected,
A16_60_S-Formylglutathione,-7.37,OK,A16,Cys287,4.457,aldehyde detected,
A16_60_S-Formylglutathione,-7.37,OK,A16,Cys287,7.322,aldehyde detected,
A16_60_S-Formylglutathione,-7.37,OK,A16,Cys287,8.335,aldehyde detected,
A16_6_amylaldehyde,-6.53,OK,A16,Cys287,2.284,aldehyde detected,
A16_7_glutaraldehyde,-5.73,OK,A16,Cys287,4.258,aldehyde detected,
A16_7_glutaraldehyde,-5.73,OK,A16,Cys287,8.606,aldehyde detected,
A16_8_hexanal,-6.74,OK,A16,Cys287,2.716,aldehyde detected,
A16_9_2-hydroxypropionaldehyde,-6.07,OK,A16,Cys287,16.492,aldehyde detected,
A16_9_2-hydroxypropionaldehyde,-6.07,OK,A16,Cys287,15.198,aldehyde detected,
A17_10_4-guanidinobutyraldehyde,-5.41,OK,A17,Cys288,18.065,aldehyde detected,
A17_11_prop-2-enal,-5.7,OK,A17,Cys288,22.488,aldehyde detected,
A17_12_prop-2-ynal,-5.94,OK,A17,Cys288,27.823,aldehyde detected,
A17_13_(2E)-but-2-enal,-6.1,OK,A17,Cys288,2.095,aldehyde detected,
A17_14_trans-2-Hexenal,-6.45,OK,A17,Cys288,31.556,aldehyde detected,
A17_15_heptanal,-6.8,OK,A17,Cys288,2.314,aldehyde detected,
A17_16_octanaldehyde,-7.03,OK,A17,Cys288,2.526,aldehyde detected,
A17_17_nonanal,-7.29,OK,A17,Cys288,2.323,aldehyde detected,
A17_18_decanal,-7.52,OK,A17,Cys288,1.991,aldehyde detected,
A17_19_dodecanal,-7.75,OK,A17,Cys288,3.509,aldehyde detected,
A17_1_formaldehyde,-5.22,OK,A17,Cys288,25.878,aldehyde detected,
A17_20_Citral,-7.31,OK,A17,Cys288,4.192,aldehyde detected,
A17_22_trans-2-Octenal,-6.96,OK,A17,Cys288,3.044,aldehyde detected,
A17_23_4-Hydroxynonenal,-7.31,OK,A17,Cys288,6.909,aldehyde detected,
A17_23_4-Hydroxynonenal,-7.31,OK,A17,Cys288,9.89,aldehyde detected,
A17_24_Tetradecanal,-8.09,OK,A17,Cys288,3.642,aldehyde detected,
A17_25_hexadecanal,-8.95,OK,A17,Cys288,2.604,aldehyde detected,
A17_26_trans-2-hexadecenal,-8.96,OK,A17,Cys288,4.007,aldehyde detected,
A17_27_Benzaldehyde,-5.86,OK,A17,Cys288,16.98,aldehyde detected,
A17_28_Phenylacetaldehyde,-6.32,OK,A17,Cys288,5.924,aldehyde detected,
A17_29_Salicylaldehyde,-6.42,OK,A17,Cys288,32.086,aldehyde detected,
A17_29_Salicylaldehyde,-6.42,OK,A17,Cys288,29.816,aldehyde detected,
A17_2_acetaldehyde,-5.57,OK,A17,Cys288,10.479,aldehyde detected,
"A17_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.14,OK,A17,Cys288,23.343,aldehyde detected,
"A17_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.14,OK,A17,Cys288,22.279,aldehyde detected,
"A17_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.14,OK,A17,Cys288,23.168,aldehyde detected,
"A17_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-9.91,OK,A17,Cys288,3.034,aldehyde detected,
A17_32_9-cis-Retinal,-9.74,OK,A17,Cys288,3.046,aldehyde detected,
A17_33_11-cis-Retinol,-9.05,OK,A17,Cys288,13.912,aldehyde detected,
A17_34_4-hydroxy-2-nonenal,-7.29,OK,A17,Cys288,3.652,aldehyde detected,
A17_34_4-hydroxy-2-nonenal,-7.29,OK,A17,Cys288,7.308,aldehyde detected,
A17_35_Cinnamaldehyde,-6.48,OK,A17,Cys288,12.269,aldehyde detected,
A17_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.37,OK,A17,Cys288,4.294,aldehyde detected,
A17_37_thiobenzaldehyde,-6.08,OK,A17,Cys288,18.716,"no aldehyde detected, using closest C",
"A17_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A17,Cys288,26.344,aldehyde detected,
"A17_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A17,Cys288,24.907,aldehyde detected,
"A17_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A17,Cys288,27.623,aldehyde detected,
"A17_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK,A17,Cys288,27.845,aldehyde detected,
A17_39_4-nitrobenzaldehyde,-5.85,OK,A17,Cys288,18.109,aldehyde detected,
A17_3_propylaldehyde,-5.91,OK,A17,Cys288,2.798,aldehyde detected,
A17_40_Furan-2-carbaldehyde,-7.11,OK,A17,Cys288,19.245,aldehyde detected,
A17_41_Indole-3-acetaldehyde,-6.58,OK,A17,Cys288,16.925,aldehyde detected,
A17_42_Glutamate-5-semialdehyde,-6.33,OK,A17,Cys288,2.759,aldehyde detected,
A17_43_Glutamate-1-semialdehyde,-5.4,OK,A17,Cys288,4.556,aldehyde detected,
A17_44_glutarate semialdehyde,-6.43,OK,A17,Cys288,5.7,aldehyde detected,
