complex_name,dG_kcal_mol,status
A15-new-ALDH7A1_10_4-guanidinobutyraldehyde,-5.28,OK
A15-new-ALDH7A1_11_prop-2-enal,-5.62,OK
A15-new-ALDH7A1_12_prop-2-ynal,-5.91,OK
A15-new-ALDH7A1_13_(2E)-but-2-enal,-6.02,OK
A15-new-ALDH7A1_14_trans-2-Hexenal,-6.37,OK
A15-new-ALDH7A1_15_heptanal,-6.92,OK
A15-new-ALDH7A1_16_octanaldehyde,-7.24,OK
A15-new-ALDH7A1_17_nonanal,-7.17,OK
A15-new-ALDH7A1_18_decanal,-7.67,OK
A15-new-ALDH7A1_19_dodecanal,-8.14,OK
A15-new-ALDH7A1_1_formaldehyde,-5.29,OK
A15-new-ALDH7A1_20_Citral,-7.46,OK
A15-new-ALDH7A1_21_cis-2-Octenal,,merge_failed
A15-new-ALDH7A1_22_trans-2-Octenal,-6.52,OK
A15-new-ALDH7A1_23_4-Hydroxynonenal,-5.8,OK
A15-new-ALDH7A1_24_Tetradecanal,-8.39,OK
A15-new-ALDH7A1_25_hexadecanal,-8.02,OK
A15-new-ALDH7A1_26_trans-2-hexadecenal,-8.38,OK
A15-new-ALDH7A1_27_Benzaldehyde,-6.87,OK
A15-new-ALDH7A1_28_Phenylacetaldehyde,-6.36,OK
A15-new-ALDH7A1_29_Salicylaldehyde,-6.72,OK
A15-new-ALDH7A1_2_acetaldehyde,-5.46,OK
"A15-new-ALDH7A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-6.86,OK
"A15-new-ALDH7A1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-8.94,OK
A15-new-ALDH7A1_32_9-cis-Retinal,-9.11,OK
A15-new-ALDH7A1_33_11-cis-Retinol,-9.2,OK
A15-new-ALDH7A1_34_4-hydroxy-2-nonenal,-6.87,OK
A15-new-ALDH7A1_35_Cinnamaldehyde,-7.16,OK
A15-new-ALDH7A1_36_3-(4-Isopropylphenyl)-2-methylpropanal,-6.87,OK
A15-new-ALDH7A1_37_thiobenzaldehyde,-6.71,OK
"A15-new-ALDH7A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK
A15-new-ALDH7A1_39_4-nitrobenzaldehyde,-6.37,OK
A15-new-ALDH7A1_3_propylaldehyde,-5.94,OK
