complex_name,protein_path,ligand_description,protein_sequence
A15_10_4-guanidinobutyraldehyde,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/10_4-guanidinobutyraldehyde.sdf,
A15_11_prop-2-enal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/11_prop-2-enal.sdf,
A15_12_prop-2-ynal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/12_prop-2-ynal.sdf,
A15_13_(2E)-but-2-enal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/13_(2E)-but-2-enal.sdf,
A15_14_trans-2-Hexenal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/14_trans-2-Hexenal.sdf,
A15_15_heptanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/15_heptanal.sdf,
A15_16_octanaldehyde,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/16_octanaldehyde.sdf,
A15_17_nonanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/17_nonanal.sdf,
A15_18_decanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/18_decanal.sdf,
A15_19_dodecanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/19_dodecanal.sdf,
A15_1_formaldehyde,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/1_formaldehyde.sdf,
A15_20_Citral,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/20_Citral.sdf,
A15_21_cis-2-Octenal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/21_cis-2-Octenal.sdf,
A15_22_trans-2-Octenal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/22_trans-2-Octenal.sdf,
A15_23_4-Hydroxynonenal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/23_4-Hydroxynonenal.sdf,
A15_24_Tetradecanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/24_Tetradecanal.sdf,
A15_25_hexadecanal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/25_hexadecanal.sdf,
A15_26_trans-2-hexadecenal,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/26_trans-2-hexadecenal.sdf,
A15_27_Benzaldehyde,/mnt/Coco/A15-B2/A15.pdb,/mnt/Coco/substrate/27_Benzaldehyde.sdf,
